rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
39	biotin	P22897	MRC1	Isoform 1 of Macrophage mannose receptor 1	Homo sapiens	5XTS	A	2.00	X-RAY DIFFRACTION	2017-12-27	0.993	0.447	22-634	P22897-1	19-1389	22-634	CD6-H82E4	https://www.acrobiosystems.com/products/protein/cd206-human-cd6-h82e4	True	160.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0		HABA assay / binding ELISA
40	biotin	Q9NNX6	CD209	Isoform 1 of CD209 antigen	Homo sapiens	9EMQ	A	1.80	X-RAY DIFFRACTION	2024-11-13	0.994	0.451	249-404	Q9NNX6-1	59-404	249-404	CD9-H82Q3	https://www.acrobiosystems.com/products/protein/cd209-human-cd9-h82q3	True	43.0	Lyophilized	human 293 cells (HEK293)	Avitag (Avi tag) at N-terminus, polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0	1000.0	HABA assay / binding ELISA
41	biotin	P06734	FCER2	Low affinity immunoglobulin epsilon Fc receptor	Homo sapiens	2H2T	B	1.30	X-RAY DIFFRACTION	2006-06-20	0.988	0.628	150-321	P06734-1	48-321	150-321	CD3-H82Q5	https://www.acrobiosystems.com/products/protein/cd23-human-cd3-h82q5	True	34.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution.	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
42	biotin	P26842	CD27	CD27 antigen	Homo sapiens	8DS5	A	1.93	X-RAY DIFFRACTION	2022-09-28	1.000	0.913	21-177	NP_001233	21-192	21-177	TN7-H82F6	https://www.acrobiosystems.com/products/protein/cd27-human-tn7-h82f6	True	47.7	Lyophilized	HEK293	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -70°C (after reconstitution)	95.0		HABA assay / binding ELISA
43	biotin	P32970	CD70	Isoform 1 of CD70 antigen	Homo sapiens	7KX0	A	2.69	X-RAY DIFFRACTION	2021-09-08	1.000	1.000	52-193	P32970-1	52-193	52-193	CDL-H82D7	https://www.acrobiosystems.com/products/protein/cd27-ligand-human-cdl-h82d7	True	51.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, Avitag, flag tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	95.0		HABA assay / binding ELISA
44	biotin	P10747	CD28	Isoform 1 of T-cell-specific surface glycoprotein CD28	Homo sapiens	1YJD	C	2.70	X-RAY DIFFRACTION	2005-02-15	1.000	1.000	19-152	P10747-1	19-152	19-152	CD8-H82E5	https://www.acrobiosystems.com/products/protein/cd28-human-cynomolgus-rhesus-macaque-cd8-h82e5	True	18.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
45	biotin	P04234	CD3D	Isoform 1 of T-cell surface glycoprotein CD3 delta chain	Homo sapiens	8ES8	D	2.65	ELECTRON MICROSCOPY	2023-05-03	1.000	1.000	22-105	P04234-1	22-105	22-105	CDD-H82E3	https://www.acrobiosystems.com/products/protein/cd3-delta-human-cdd-h82e3	True	13.4	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0	1000.0	HABA assay / binding ELISA
46	biotin	P07766	CD3E	T-cell surface glycoprotein CD3 epsilon chain	Homo sapiens	1XIW	A	1.90	X-RAY DIFFRACTION	2004-11-16	1.000	1.000	23-126	P07766-1	23-126	23-126	CDE-H82E1	https://www.acrobiosystems.com/products/protein/cd3-epsilon-human-cde-h82e1	True	15.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
47	biotin	P16671	CD36	Platelet glycoprotein 4	Homo sapiens	5LGD	A	2.07	X-RAY DIFFRACTION	2016-08-31	1.000	1.000	30-439	NP_001001547.1	30-439	30-439	CD6-H82E9	https://www.acrobiosystems.com/products/protein/cd36-human-cd6-h82e9	True	50.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
48	biotin	P28907	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	Homo sapiens	6VUA	A	1.50	X-RAY DIFFRACTION	2020-06-03	0.984	0.992	45-300	NP_001766.2	43-300	45-300	CD8-H82E7	https://www.acrobiosystems.com/products/protein/cd38-human-cd8-h82e7	True	32.5	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0	100.0	HABA assay / binding ELISA
49	biotin	P01730	CD4	T-cell surface glycoprotein CD4	Homo sapiens	8FYI	Z	3.40	ELECTRON MICROSCOPY	2023-10-18	1.000	1.000	26-396	P01730-1	26-396	26-396	CD4-H82E8	https://www.acrobiosystems.com/products/protein/cd4-human-cd4-h82e8	True	45.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
50	biotin	P25942	CD40	Isoform I of Tumor necrosis factor receptor superfamily member 5	Homo sapiens	7P3I	A	2.29	X-RAY DIFFRACTION	2022-04-06	1.000	1.000	21-193	P25942-1	21-193	21-193	CD0-H82E8	https://www.acrobiosystems.com/products/protein/cd40-human-cd0-h82e8	True	21.8	Lyophilized	human 293 cells (HEK293)	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -70°C (after reconstitution)	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
51	biotin	P29965	CD40LG	CD40 ligand	Homo sapiens	6W9G	A	1.82	X-RAY DIFFRACTION	2020-12-23	1.000	1.000	116-261	P29965-1	116-261	116-261	CDL-H82Db	https://www.acrobiosystems.com/products/protein/cd40-ligand-human-cdl-h82db	True	51.6	Lyophilized	HEK293	Avi tag (Avitag™) at the N-terminus, followed by flag tag, polyhistidine tag inserted in-between the Avi tag and Flag tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
52	biotin	P08575	PTPRC	Isoform 1 of Receptor-type tyrosine-protein phosphatase C	Homo sapiens	8VSE	A	3.80	ELECTRON MICROSCOPY	2024-11-06	1.000	0.998	26-576	P08575-3	26-577	26-576	CD5-H82E7	https://www.acrobiosystems.com/products/protein/cd45-human-cd5-h82e7	True	64.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
53	biotin	Q08722	CD47	Isoform OA3-305 of Leukocyte surface antigen CD47	Homo sapiens	8RP8	C	2.00	X-RAY DIFFRACTION	2024-06-19	0.992	1.000	19-139	Q08722-3	19-139	19-139	CD7-H82E9	https://www.acrobiosystems.com/products/protein/cd47-human-cd7-h82e9	True	16.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 24 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
54	biotin	P06127	CD5	T-cell surface glycoprotein CD5	Homo sapiens	2JOP	A		SOLUTION NMR	2008-02-26	0.982	0.316	25-134	P06127-1	25-372	25-134	GMP-CD5H24	https://www.acrobiosystems.com/products/protein/cd5-human-gmp-cd5h24	True	42.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)				6R (20 mm neck finish)	PBS, pH7.4 with protectants		-20°C or lower for long term storage; -20°C to -70°C for 5 years in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution	95.0	10.0	SDS-PAGE, Quantitative ELISA binding assay against streptavidin, LAL method for endotoxin, ELISA for host cell protein, qPCR for host cell DNA, sterility testing (membrane filtration), mycoplasma testing
55	biotin	P31358	CD52	CAMPATH-1 antigen	Homo sapiens	6OBD	E	2.20	X-RAY DIFFRACTION	2019-07-03	1.000	0.833	27-36	P31358-1	25-36	27-36	CD2-H82E8	https://www.acrobiosystems.com/products/protein/cd52-human-cd2-h82e8	True	13.5	0.2 μm filtered solution	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, 0.2 M Arginine, pH7.4 with trehalose as protectant		-70°C or lower	90.0		HABA assay / binding ELISA
56	biotin	P13987	CD59	Isoform 1 of CD59 glycoprotein	Homo sapiens	2J8B	A	1.15	X-RAY DIFFRACTION	2007-08-07	1.000	1.000	26-102	P13987-1	26-102	26-102	CD9-H82E3	https://www.acrobiosystems.com/products/protein/cd59-human-cd9-h82e3	True	12.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0		HABA assay / binding ELISA
57	biotin	P30203	CD6	Isoform CD6A of T-cell differentiation antigen CD6	Homo sapiens	5A2E	A	3.15	X-RAY DIFFRACTION	2015-07-22	0.989	0.921	18-368	P30203-1	18-398	18-368	CD6-H82E3	https://www.acrobiosystems.com/products/protein/cd6-human-cd6-h82e3	True	44.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
58	biotin	P21589	NT5E	Isoform 1 of 5'-nucleotidase	Homo sapiens	6TVE	P	1.05	X-RAY DIFFRACTION	2020-02-19	0.985	1.000	27-549	P21589-1	27-549	27-549	CD3-H82E3	https://www.acrobiosystems.com/products/protein/cd73-human-cd3-h82e3	True	61.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					20 mM Tris, 120 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
59	biotin	P40259	CD79B	Isoform Long of B-cell antigen receptor complex-associated protein beta chain	Homo sapiens	3KG5	A	3.20	X-RAY DIFFRACTION	2010-08-25	1.000	1.000	29-159	P40259-1	29-159	29-159	CDB-H82E3	https://www.acrobiosystems.com/products/protein/cd79b-human-cdb-h82e3	True	18.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, 0.2 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
60	biotin	P01732	CD8A	Isoform 1 of T-cell surface glycoprotein CD8 alpha chain	Homo sapiens	8EW6	W	1.90	X-RAY DIFFRACTION	2022-11-23	1.000	0.745	22-141	P01732-1	22-182	22-141	CDA-H82E3	https://www.acrobiosystems.com/products/protein/cd8-alpha-human-cda-h82e3	True	21.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0	100.0	HABA assay / binding ELISA
61	biotin	P60033	CD81	CD81 antigen	Homo sapiens	5TCX	A	2.96	X-RAY DIFFRACTION	2016-11-09	0.983	1.000	2-236	P60033	2-236	2-236	CD1-H85D8	https://www.acrobiosystems.com/products/protein/cd81-human-cd1-h85d8	True	31.4	0.2 μm filtered solution in 50 mM HEPES, 150 mM NaCl, DDM, CHS, pH7.5 with glycerol as protectant	Baculovirus-Insect cells	Flag tag at the N-terminus, polyhistidine tag at the C-terminus, Avi tag					50 mM HEPES, 150 mM NaCl, DDM, CHS, pH7.5 with glycerol as protectant		-70°C or lower	60.0		HABA assay / binding ELISA
62	biotin	Q9UIB8	CD84	Isoform 3 of SLAM family member 5	Homo sapiens	2PKD	A	2.04	X-RAY DIFFRACTION	2007-06-26	1.000	0.539	22-131	Q9UIB8-3	22-225	22-131	CD4-H82E5	https://www.acrobiosystems.com/products/protein/cd84-human-cd4-h82e5	True	26.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
